data_name,size,algorithm,execution_time,memory_usage,comparisons,swaps,recursion_depth,correctness,error
identical_elements,1000,QuickSortLomuto_last,0.2602485000024899,0.21875,499500,501498,998,True,
identical_elements,1000,QuickSortHoare_last,0.007925400001113303,0.0,11862,5931,9,True,
identical_elements,1000,QuickSortLomuto_random,0.28160729999945033,0.14453125,499500,501498,998,True,
identical_elements,1000,QuickSortHoare_random,0.008992299997771624,0.0,11862,5931,9,True,
identical_elements,1000,QuickSortLomuto_median_of_three,0.262650600001507,0.12109375,499500,501498,998,True,
identical_elements,1000,QuickSortHoare_median_of_three,0.00752910000301199,0.0,11862,5931,9,True,
identical_elements,1000,QuickSortLomuto_median_of_random_three,0.3611652999970829,0.140625,499500,501498,998,True,
identical_elements,1000,QuickSortHoare_median_of_random_three,0.013259500003186986,0.00390625,11862,5931,9,True,
identical_elements,1000,QuickSortDualPivot,0.060795199999120086,0.06640625,250000,1000,499,True,
identical_elements,1000,QuickSortThreeWay,0.0007078000053297728,0.0,999,1,0,True,
sorted_data,1000,QuickSortLomuto_last,0.22623579999344656,0.12109375,499500,501498,998,True,
sorted_data,1000,QuickSortHoare_last,0.060396300003048964,0.0859375,502497,1998,998,True,
sorted_data,1000,QuickSortLomuto_random,0.004222700001264457,0.0,10106,6643,19,True,
sorted_data,1000,QuickSortHoare_random,0.0036324999964563176,0.0,16083,1696,26,True,
sorted_data,1000,QuickSortLomuto_median_of_three,0.0032099999953061342,0.0,7987,4960,8,True,
sorted_data,1000,QuickSortHoare_median_of_three,0.008719400000700261,0.0,11804,1665,10,True,
sorted_data,1000,QuickSortLomuto_median_of_random_three,0.008546099998056889,0.0,9657,5733,16,True,
sorted_data,1000,QuickSortHoare_median_of_random_three,0.009586200001649559,0.0,13282,1630,17,True,
sorted_data,1000,QuickSortDualPivot,0.05259289999958128,0.03125,250000,1000,499,True,
sorted_data,1000,QuickSortThreeWay,0.00929069999983767,0.0,8808,9378,14,True,
random_data,1000,QuickSortLomuto_last,0.004798100002517458,0.0,10616,6115,19,True,
random_data,1000,QuickSortHoare_last,0.00524559999757912,0.0,16324,3270,23,True,
random_data,1000,QuickSortLomuto_random,0.006533200001285877,0.0,10902,6710,20,True,
random_data,1000,QuickSortHoare_random,0.007654900000488851,0.0,14404,3441,20,True,
random_data,1000,QuickSortLomuto_median_of_three,0.0033609000020078383,0.0,9006,5816,14,True,
random_data,1000,QuickSortHoare_median_of_three,0.012850599996454548,0.0,14052,3586,21,True,
random_data,1000,QuickSortLomuto_median_of_random_three,0.011327299995173234,0.0,8995,5281,15,True,
random_data,1000,QuickSortHoare_median_of_random_three,0.02291519999562297,0.0,13429,3633,15,True,
